From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,882.765,0,50000,2.15442,4.01869,2.49976,882.765,2206.70225
0,882.933,0,50000,2.15537,3.98579,2.49848,882.933,2205.99422
0,883.707,0,50000,2.15518,3.88629,2.49943,883.707,2208.76458
0,883.567,0,50000,2.15365,3.88799,2.49898,883.567,2208.01857
0,883.514,0,50000,2.15526,3.89004,2.50126,883.514,2209.89488
0,882.906,0,50000,2.15614,4.12352,2.50009,882.906,2207.34143
0,883.805,0,50000,2.15524,3.92737,2.49891,883.805,2208.5494
0,882.984,0,50000,2.15435,3.9499,2.49948,882.984,2207.00211
0,883.695,0,50000,2.15551,3.97481,2.49982,883.695,2209.07836
0,883.801,0,50000,2.15478,3.92218,2.49994,883.801,2209.44862
