From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,296.699,0,10000,1.66328,3.94551,2.45626,296.699,728.77115
0,304.805,0,10000,1.66323,3.7941,2.43634,304.805,742.60742
0,308.227,0,10000,1.66409,3.77739,2.42339,308.227,746.95418
0,297.264,0,10000,1.66517,3.79812,2.42621,297.264,721.22521
0,301.064,0,10000,1.66299,3.89172,2.43995,301.064,734.58
0,299.483,0,10000,1.66239,3.84285,2.45108,299.483,734.05604
0,307.968,0,10000,1.66452,3.72255,2.42199,307.968,745.89663
0,299.236,0,10000,1.66294,3.84775,2.44962,299.236,733.0134
0,297.746,0,10000,1.66274,3.76442,2.4514,297.746,729.89398
0,300.19,0,10000,1.66202,5.38342,2.48116,300.19,744.82054
