From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1266.757,0,10000,1.95452,3.31682,2.33266,1266.757,2954.91347
0,1267.249,0,10000,1.95503,3.32539,2.33249,1267.249,2955.844
0,1267.656,0,10000,1.95432,3.2762,2.33236,1267.656,2956.63309
0,1267.84,0,10000,1.95598,3.23446,2.33255,1267.84,2957.29539
0,1267.094,0,10000,1.95646,3.32577,2.33278,1267.094,2955.84989
0,1268.194,0,10000,1.95565,3.44696,2.33324,1268.194,2959.00509
0,1267.525,0,10000,1.95759,3.3045,2.33309,1267.525,2957.24614
0,1267.735,0,10000,1.95684,3.22591,2.33363,1267.735,2958.42019
0,1268.393,0,10000,1.95743,3.29335,2.33323,1268.393,2959.45219
0,1268.176,0,10000,1.95688,3.29602,2.33271,1268.176,2958.29191
