From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,288.263,0,50000,1.92907,3.68624,2.58935,288.263,746.41325
0,279.277,0,50000,1.97018,3.41347,2.65746,279.277,742.16772
0,279.56,0,50000,1.94096,3.43753,2.64811,279.56,740.30603
0,291.056,0,50000,1.93855,3.46434,2.6024,291.056,757.44358
0,293.845,0,50000,1.93181,3.42576,2.59707,293.845,763.13488
0,303.048,0,50000,1.93696,3.35244,2.57139,303.048,779.25333
0,285.155,0,50000,1.95243,3.475,2.5984,285.155,740.94804
0,277.434,0,50000,1.94836,3.49271,2.65557,277.434,736.74658
0,289.194,0,50000,1.92006,3.41126,2.61228,289.194,755.45448
0,286.537,0,50000,1.95168,3.4098,2.62044,286.537,750.8531
