From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,876.574,0,50000,2.16013,3.94855,2.50588,876.574,2196.5878
0,876.841,0,50000,2.17137,3.95422,2.50845,876.841,2199.51561
0,876.918,0,50000,2.16163,3.93074,2.50841,876.918,2199.66565
0,876.403,0,50000,2.15989,3.93863,2.50792,876.403,2197.94485
0,877.15,0,50000,2.16074,3.99976,2.50877,877.15,2200.56727
0,876.027,0,50000,2.15804,3.93699,2.50642,876.027,2195.69447
0,876.805,0,50000,2.15848,3.93761,2.50567,876.805,2196.98814
0,876.791,0,50000,2.15907,4.03964,2.50495,876.791,2196.32071
0,876.907,0,50000,2.15806,3.95555,2.50381,876.907,2195.60771
0,876.667,0,50000,2.15712,3.95642,2.50313,876.667,2194.41076
