From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,975.278,0,50000,2.14982,3.83614,2.49721,975.278,2435.47794
0,973.103,0,50000,2.15113,3.85704,2.50049,973.103,2433.2385
0,973.289,0,50000,2.15771,3.938,2.5048,973.289,2437.89394
0,974.16,0,50000,2.16668,3.87526,2.50346,974.16,2438.77452
0,973.456,0,50000,2.15628,3.80661,2.5029,973.456,2436.46075
0,973.262,0,50000,2.15598,3.86724,2.50318,973.262,2436.2519
0,973.789,0,50000,2.15661,4.12895,2.50444,973.789,2438.79953
0,973.811,0,50000,2.15638,3.91082,2.50392,973.811,2438.34848
0,972.961,0,50000,2.15628,3.86818,2.50352,972.961,2435.82623
0,973.531,0,50000,2.15664,3.86954,2.50404,973.531,2437.75723
