From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1247.739,0,10000,1.95708,3.27251,2.33547,1247.739,2914.0589
0,1248.756,0,10000,1.9574,3.39703,2.33541,1248.756,2916.35287
0,1247.959,0,10000,1.96753,3.37089,2.33589,1247.959,2915.09632
0,1249.579,0,10000,1.9693,3.38813,2.33559,1249.579,2918.49892
0,1248.003,0,10000,1.95772,3.33488,2.33533,1248.003,2914.49349
0,1248.579,0,10000,1.95921,3.35414,2.33557,1248.579,2916.14263
0,1248.97,0,10000,1.95587,3.30313,2.33507,1248.97,2916.4347
0,1248.023,0,10000,1.95763,3.38293,2.33552,1248.023,2914.78164
0,1248.337,0,10000,1.96758,3.3002,2.33456,1248.337,2914.31565
0,1247.077,0,10000,1.95555,3.29551,2.33517,1247.077,2912.13506
