From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,370.457,0,10000,1.89202,4.07362,2.46215,370.457,912.12223
0,365.963,0,10000,1.67234,3.8106,2.47166,365.963,904.53626
0,371.247,0,10000,1.86921,5.25764,2.42176,371.247,899.06995
0,364.082,0,10000,1.63792,3.96406,2.44168,364.082,888.97045
0,364.693,0,10000,1.86582,4.94532,2.43268,364.693,887.18095
0,378.972,0,10000,1.86436,3.76798,2.39627,378.972,908.11781
0,375.183,0,10000,1.63075,3.92284,2.40683,375.183,903.00009
0,376.277,0,10000,1.62088,4.67263,2.42577,376.277,912.76292
0,375.394,0,10000,1.63437,3.95438,2.41326,375.394,905.9239
0,374.435,0,10000,1.86647,4.15338,2.4206,374.435,906.35676
