From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,242.542,0,10000,1.76131,3.44446,2.4671,242.542,598.37586
0,241.088,0,10000,1.56592,4.01898,2.47878,241.088,597.60321
0,241.417,0,10000,1.56566,4.09205,2.47797,241.417,598.22486
0,241.264,0,10000,1.56665,4.14687,2.47877,241.264,598.0379
0,241.005,0,10000,1.5697,3.87849,2.48323,241.005,598.47043
0,241.196,0,10000,1.57692,3.44453,2.47867,241.196,597.8464
0,241.048,0,10000,1.5672,3.6521,2.47305,241.048,596.12425
0,241.428,0,10000,1.57463,3.93667,2.47928,241.428,598.56661
0,241.331,0,10000,1.5794,3.98128,2.4787,241.331,598.18793
0,241.147,0,10000,1.57202,3.71459,2.47872,241.147,597.7356
