From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1032.087,0,50000,2.35957,3.72265,2.79468,1032.087,2884.35379
0,1039.03,0,50000,2.35807,3.77561,2.79447,1039.03,2903.54095
0,1035.41,0,10000,2.36617,3.65349,2.79231,1035.41,2891.18498
0,1038.116,0,10000,2.36701,3.66354,2.7904,1038.116,2896.76375
0,1040.207,0,10000,2.42921,3.69055,2.78654,1040.207,2898.58181
0,1044.119,0,10000,2.36948,3.70664,2.78858,1044.119,2911.61382
0,1039.616,0,10000,2.36326,3.64154,2.78765,1039.616,2898.08554
0,1036.043,0,10000,2.3634,3.6464,2.79324,1036.043,2893.91691
0,1042.333,0,10000,2.36461,3.76337,2.78619,1042.333,2904.13869
0,1031.135,0,10000,2.36954,3.61468,2.79248,1031.135,2879.42038
