From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1134.46,0,50000,2.1627,3.94265,2.53028,1134.46,2870.50705
0,1125.832,0,50000,2.15888,3.93867,2.50068,1125.832,2815.34609
0,1125.139,0,50000,2.15715,4.01246,2.51435,1125.139,2828.99233
0,1124.971,0,50000,2.16267,4.05517,2.51193,1124.971,2825.85208
0,1125.47,0,50000,2.16485,3.97026,2.51382,1125.47,2829.23077
0,1125.658,0,50000,2.16512,3.99108,2.51327,1125.658,2829.07719
0,1125.356,0,50000,2.16323,3.95754,2.51042,1125.356,2825.11515
0,1124.967,0,50000,2.17392,3.93851,2.51094,1124.967,2824.72412
0,1126.063,0,50000,2.16124,3.95109,2.51063,1126.063,2827.12567
0,1125.691,0,50000,2.1631,3.91133,2.50905,1125.691,2824.40971
