From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,302.777,0,10000,1.65894,3.78164,2.439,302.777,738.47208
0,304.58,0,10000,1.89367,3.65626,2.42853,304.58,739.68192
0,305.444,0,10000,1.67218,3.64545,2.42367,305.444,740.29693
0,305.626,0,10000,1.66259,3.9065,2.42724,305.626,741.82898
0,301.408,0,10000,1.66266,3.95992,2.43774,301.408,734.7548
0,305.736,0,10000,1.66387,3.62872,2.40254,305.736,734.54245
0,303.885,0,10000,1.67436,3.99186,2.43208,303.885,739.07393
0,302.665,0,10000,1.6615,3.59826,2.43246,302.665,736.2198
0,304.595,0,10000,1.66387,4.16717,2.42866,304.595,739.75764
0,298.145,0,10000,1.88499,3.78605,2.44657,298.145,729.43165
