From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,244.453,0,10000,1.56685,3.94881,2.47333,244.453,604.61299
0,237.174,0,10000,1.57753,3.70136,2.48911,237.174,590.35209
0,237.518,0,10000,1.56713,3.50334,2.4887,237.518,591.11096
0,237.236,0,10000,1.57714,3.91824,2.4887,237.236,590.40914
0,237.299,0,10000,1.56606,4.00709,2.4832,237.299,589.26081
0,237.533,0,10000,1.56978,4.24137,2.48886,237.533,591.18739
0,237.513,0,10000,1.567,3.97998,2.4886,237.513,591.07497
0,237.271,0,10000,1.56641,3.40559,2.48871,237.271,590.49964
0,237.325,0,10000,1.56443,3.36154,2.48823,237.325,590.51955
0,237.13,0,10000,1.56607,4.02517,2.48866,237.13,590.13487
