From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,884.34,0,10000,2.05453,3.82689,2.38562,884.34,2109.69762
0,883.608,0,10000,2.06196,3.67633,2.38493,883.608,2107.34396
0,884.019,0,10000,2.06056,3.80247,2.38274,884.019,2106.38839
0,883.948,0,10000,2.05985,3.70237,2.38263,883.948,2106.12002
0,884.1,0,10000,2.05952,3.79136,2.38541,884.1,2108.94327
0,885.069,0,10000,2.0528,3.79811,2.38786,885.069,2113.41709
0,884.139,0,10000,2.06339,3.74327,2.38723,884.139,2110.64622
0,883.993,0,10000,2.05379,3.75401,2.38688,883.993,2109.98573
0,883.808,0,10000,2.06376,4.06298,2.38775,883.808,2110.31662
0,883.675,0,10000,2.05241,3.62476,2.38669,883.675,2109.0622
