From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,335.678,0,50000,1.93171,3.57003,2.62307,335.678,880.50842
0,344.037,0,50000,1.89611,3.73251,2.59815,344.037,893.85819
0,344.315,0,50000,1.94482,3.45842,2.60645,344.315,897.4393
0,343.003,0,50000,1.90686,3.45075,2.60318,343.003,892.89848
0,323.942,0,50000,1.89729,3.52935,2.66377,323.942,862.90761
0,333.363,0,50000,1.92639,3.54398,2.63161,333.363,877.28136
0,330.784,0,50000,1.92517,3.6013,2.64432,330.784,874.70007
0,326.022,0,50000,1.94935,3.40584,2.66182,326.022,867.81113
0,330.594,0,50000,1.91546,3.59767,2.64088,330.594,873.05757
0,338.424,0,50000,1.93424,3.46724,2.61577,338.424,885.2398
