From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,294.354,0,50000,2.17001,4.36501,2.74414,294.354,807.74951
0,290.603,0,50000,2.17001,4.26633,2.74702,290.603,798.29306
0,291.002,0,50000,2.16961,4.27021,2.74585,291.002,799.04699
0,291.319,0,50000,2.16966,4.3882,2.74543,291.319,799.79678
0,291.455,0,50000,2.16963,4.19044,2.7438,291.455,799.69285
0,291.227,0,50000,2.16763,4.44215,2.74469,291.227,799.3269
0,290.381,0,50000,2.17696,4.36967,2.74571,290.381,797.30099
0,291.827,0,50000,2.16903,4.41954,2.74228,291.827,800.27139
0,291.177,0,50000,2.16947,4.30928,2.74273,291.177,798.61871
0,291.052,0,50000,2.16855,4.14362,2.74292,291.052,798.33151
