From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,237.962,0,10000,1.56709,3.87381,2.48102,237.962,590.38731
0,238.003,0,10000,1.57642,3.47054,2.48117,238.003,590.5264
0,238.201,0,10000,1.57791,4.37355,2.47543,238.201,589.64958
0,238.139,0,10000,1.57628,3.78326,2.48067,238.139,590.74497
0,237.814,0,10000,1.56669,3.82507,2.48137,237.814,590.10524
0,238.115,0,10000,1.57652,4.03514,2.48051,238.115,590.64549
0,238.055,0,10000,1.56535,3.53929,2.48057,238.055,590.51326
0,238.286,0,10000,1.56527,3.2866,2.48071,238.286,591.11771
0,238.217,0,10000,1.57769,3.99312,2.47548,238.217,589.70122
0,237.694,0,10000,1.56739,4.1289,2.4813,237.694,589.79128
