From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,989.856,0,10000,2.24618,4.34269,2.60598,989.856,2579.54079
0,985.72,0,10000,2.24495,3.9622,2.5844,985.72,2547.49117
0,985.377,0,10000,2.23269,3.97005,2.56775,985.377,2530.20076
0,985.707,0,10000,2.21924,3.89071,2.55851,985.707,2521.94435
0,987.172,0,10000,2.21671,4.03302,2.56257,987.172,2529.70209
0,987.25,0,10000,2.22656,3.86167,2.55689,987.25,2524.29392
0,985.583,0,10000,2.22628,3.89094,2.55466,985.583,2517.82732
0,986.622,0,10000,2.22362,3.97308,2.55329,986.622,2519.12879
0,986.502,0,10000,2.22719,4.06178,2.5536,986.502,2519.13342
0,986.455,0,10000,2.21444,3.8354,2.55365,986.455,2519.05942
