From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1287.579,0,50000,2.0739,3.9385,2.42842,1287.579,3126.77658
0,1284.535,0,50000,2.07168,3.74165,2.41308,1284.535,3099.69036
0,1283.81,0,50000,2.08187,3.94734,2.41277,1283.81,3097.54224
0,1284.428,0,50000,2.07084,3.87414,2.4127,1284.428,3098.93356
0,1284.558,0,50000,2.07077,3.73112,2.41261,1284.558,3099.14255
0,1284.905,0,50000,2.07087,3.71262,2.41336,1284.905,3100.94331
0,1285.241,0,50000,2.07118,3.7226,2.41336,1285.241,3101.75048
0,1286.481,0,50000,2.07002,3.88591,2.41542,1286.481,3107.39585
0,1284.474,0,50000,2.07067,3.69477,2.41361,1284.474,3100.21744
0,1284.867,0,50000,2.07053,3.75452,2.41377,1284.867,3101.37584
