From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,386.519,0,50000,1.72592,3.67427,2.59981,386.519,1004.87485
0,348.438,0,50000,1.90031,3.89085,2.60556,348.438,907.87733
0,351.678,0,50000,1.92721,3.65305,2.59481,351.678,912.53587
0,327.447,0,50000,1.94295,3.51486,2.66957,327.447,874.1418
0,340.431,0,50000,1.94026,3.53988,2.62989,340.431,895.29544
0,335.457,0,50000,1.70215,3.53641,2.63992,335.457,885.579
0,339.766,0,50000,1.75522,3.66759,2.63277,339.766,894.52672
0,339.109,0,50000,1.71242,3.55945,2.63019,339.109,891.92059
0,347.085,0,50000,1.92507,3.76688,2.61852,347.085,908.84922
0,336.393,0,50000,1.9413,3.62702,2.64494,336.393,889.7393
