From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,975.799,0,10000,1.97703,3.39768,2.36289,975.799,2305.70581
0,976.336,0,10000,1.97788,3.36571,2.36285,976.336,2306.93392
0,975.692,0,10000,1.99026,3.37112,2.36488,975.692,2307.39357
0,976.216,0,10000,1.97856,3.38747,2.36545,976.216,2309.19421
0,976.248,0,10000,1.98012,3.49479,2.38476,976.248,2328.11585
0,980.589,0,10000,2.03847,3.31893,2.33742,980.589,2292.05036
0,976.329,0,10000,1.97068,3.33958,2.33158,976.329,2276.38693
0,977.162,0,10000,1.95846,3.34805,2.3311,977.162,2277.86054
0,976.796,0,10000,1.95746,3.45542,2.33104,976.796,2276.94635
0,977.206,0,10000,1.95752,3.30409,2.33037,977.206,2277.2496
