From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1043.722,0,10000,2.36674,3.64649,2.78482,1043.722,2906.58034
0,1045.532,0,10000,2.37465,3.67804,2.78797,1045.532,2914.91553
0,1054.378,0,10000,2.39872,3.65093,2.78305,1054.378,2934.38214
0,1051.885,0,10000,2.36577,3.63769,2.78538,1051.885,2929.89977
0,1041.954,0,10000,2.42343,3.72942,2.78583,1041.954,2902.71191
0,1046.59,0,10000,2.36621,3.65654,2.78317,1046.59,2912.83867
0,1040.559,0,10000,2.36621,3.71471,2.78771,1040.559,2900.77433
0,1037.714,0,10000,2.36314,3.78857,2.78712,1037.714,2892.23517
0,1045.763,0,10000,2.36342,3.6503,2.78529,1045.763,2912.74951
0,1041.607,0,10000,2.36274,3.69521,2.78573,1041.607,2901.64017
