From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1036.637,0,50000,2.3617,3.76406,2.79159,1036.637,2893.86633
0,1031.523,0,50000,2.35653,3.749,2.79059,1031.523,2878.55737
0,1024.547,0,50000,2.35847,3.71841,2.79526,1024.547,2863.87405
0,1028.363,0,10000,2.36295,3.65782,2.78853,1028.363,2867.62022
0,1027.783,0,10000,2.36368,3.82954,2.78736,1027.783,2864.79911
0,1030.496,0,10000,2.36534,3.62817,2.78552,1030.496,2870.46831
0,1033.685,0,10000,2.3773,3.73557,2.78756,1033.685,2881.4635
0,1054.322,0,10000,2.36342,3.95478,2.82978,1054.322,2983.49772
0,1032.647,0,10000,2.37052,3.67302,2.78978,1032.647,2880.85873
0,1029.593,0,10000,2.36518,3.65847,2.78819,1029.593,2870.70081
