From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,288.674,0,50000,2.17572,4.32753,2.76319,288.674,797.66034
0,289.653,0,50000,2.17559,4.15979,2.76099,289.653,799.72878
0,288.607,0,50000,2.17331,4.45213,2.76139,288.607,796.9557
0,288.706,0,50000,2.17371,4.42,2.76108,288.706,797.14013
0,287.87,0,50000,2.17642,4.44712,2.76195,287.87,795.08208
0,288.374,0,50000,2.17285,4.4499,2.76162,288.374,796.379
0,279.835,0,50000,2.18773,4.34988,2.76082,279.835,772.57459
0,288.818,0,50000,2.17043,4.15084,2.76002,288.818,797.14309
0,288.997,0,50000,2.17315,4.33203,2.76071,288.997,797.83692
0,288.748,0,50000,2.17281,4.29535,2.76064,288.748,797.12982
