From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,318.504,0,10000,1.63276,4.73257,2.39519,318.504,762.87788
0,312.83,0,10000,1.85624,4.70462,2.40608,312.83,752.69494
0,301.609,0,10000,1.86881,4.32297,2.41199,301.609,727.4774
0,313.976,0,10000,1.86715,3.90571,2.39854,313.976,753.08476
0,306.373,0,10000,1.63562,4.76617,2.40315,306.373,736.26146
0,304.362,0,10000,1.6352,3.7419,2.4016,304.362,730.95621
0,318.69,0,10000,1.63526,4.02711,2.38666,318.69,760.60327
0,312.069,0,10000,1.62518,4.25932,2.41043,312.069,752.22126
0,313.977,0,10000,1.63456,3.7574,2.40256,313.977,754.34733
0,311.853,0,10000,1.85834,3.64142,2.40681,311.853,750.57088
