From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,348.364,0,50000,2.19114,4.36161,2.77244,348.364,965.81768
0,349.439,0,50000,2.21971,4.34948,2.77349,349.439,969.16511
0,349.397,0,50000,2.17477,4.4188,2.77446,349.397,969.38947
0,349.183,0,50000,2.17781,4.40126,2.77549,349.183,969.1539
0,348.823,0,50000,2.17648,4.38405,2.77664,348.823,968.55644
0,349.598,0,50000,2.17765,4.58362,2.77483,349.598,970.07353
0,349.145,0,50000,2.1756,4.37708,2.77544,349.145,969.02996
0,348.944,0,50000,2.17518,4.2925,2.77518,348.944,968.38104
0,349.265,0,50000,2.17472,4.45741,2.77508,349.265,969.23786
0,348.814,0,50000,2.1764,4.42468,2.77539,348.814,968.09616
