From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,291.008,0,10000,1.56731,4.10163,2.48119,291.008,722.04643
0,283.909,0,10000,1.56713,4.00485,2.4931,283.909,707.8148
0,283.837,0,10000,1.56712,3.95258,2.49323,283.837,707.67173
0,284.147,0,10000,1.56646,4.04983,2.4913,284.147,707.89596
0,283.871,0,10000,1.56651,4.08544,2.48847,283.871,706.40312
0,283.835,0,10000,1.5658,3.58189,2.48819,283.835,706.23606
0,283.94,0,10000,1.56649,3.69359,2.48852,283.94,706.59104
0,283.958,0,10000,1.79404,3.87645,2.48968,283.958,706.96349
0,283.725,0,10000,1.57664,3.92195,2.4927,283.725,707.24067
0,283.797,0,10000,1.56574,3.62004,2.49286,283.797,707.46651
