From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,312.385,0,50000,1.94493,3.51064,2.66182,312.385,831.51253
0,319.324,0,50000,1.94856,3.44992,2.64685,319.324,845.20255
0,315.077,0,50000,1.93699,3.45298,2.65027,315.077,835.03812
0,310.217,0,50000,2.00699,3.37111,2.66524,310.217,826.8021
0,302.187,0,50000,1.97382,3.42777,2.68333,302.187,810.86859
0,311.827,0,50000,1.70477,3.47814,2.64983,311.827,826.28751
0,302.999,0,50000,1.94296,3.4775,2.67969,302.999,811.9447
0,308.749,0,50000,1.95032,3.36767,2.66208,308.749,821.9155
0,309.491,0,50000,1.96664,3.61283,2.66342,309.491,824.30345
0,313.723,0,50000,1.94505,3.41084,2.64908,313.723,831.07642
