From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1126.806,0,50000,1.97489,3.42569,2.36143,1126.806,2660.87769
0,1127.125,0,50000,1.97168,3.47319,2.36133,1127.125,2661.51309
0,1126.009,0,10000,1.9933,3.39594,2.36505,1126.009,2663.06785
0,1126.809,0,10000,1.98318,3.57015,2.36459,1126.809,2664.44097
0,1126.844,0,10000,1.98044,3.48205,2.3645,1126.844,2664.42501
0,1126.81,0,10000,1.97858,3.41605,2.36422,1126.81,2664.02358
0,1126.192,0,10000,1.98013,3.41073,2.3644,1126.192,2662.77362
0,1126.341,0,10000,1.97987,3.34555,2.36486,1126.341,2663.64332
0,1126.581,0,10000,1.97888,3.35735,2.36387,1126.581,2663.09191
0,1127.035,0,10000,1.97955,3.40179,2.36341,1127.035,2663.64586
