From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,353.152,0,50000,2.17764,4.43831,2.77351,353.152,979.47228
0,354.468,0,50000,2.17281,4.39676,2.77146,354.468,982.39363
0,353.981,0,50000,2.17286,4.34977,2.77097,353.981,980.87044
0,353.943,0,50000,2.17241,4.36548,2.77134,353.943,980.89669
0,353.265,0,50000,2.17199,4.4252,2.77102,353.265,978.90497
0,353.237,0,50000,2.17491,4.37685,2.7722,353.237,979.24459
0,353.489,0,50000,2.17417,4.39865,2.77151,353.489,979.69793
0,354.157,0,50000,2.17441,4.42376,2.77047,354.157,981.18093
0,354.233,0,50000,2.17145,4.45294,2.77155,354.233,981.7728
0,354.089,0,50000,2.17239,4.378,2.77112,354.089,981.22254
