From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1379.485,0,50000,2.31978,3.65301,2.74695,1379.485,3789.37024
0,1382.02,0,50000,2.31765,3.64301,2.74475,1382.02,3793.29616
0,1384.26,0,50000,2.36397,3.68391,2.79552,1384.26,3869.72884
0,1377.274,0,50000,2.36199,3.85451,2.79745,1377.274,3852.85873
0,1374.077,0,10000,2.36953,3.73747,2.79241,1374.077,3836.98283
0,1376.337,0,10000,2.36435,3.66117,2.79037,1376.337,3840.49243
0,1378.913,0,10000,2.36806,3.63726,2.78963,1378.913,3846.65322
0,1388.05,0,10000,2.36604,3.70666,2.78649,1388.05,3867.78618
0,1387.505,0,10000,2.36945,3.65314,2.78781,1387.505,3868.09935
0,1388.549,0,10000,2.36925,3.65813,2.78762,1388.549,3870.74478
