From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1006.077,0,50000,2.0686,3.97114,2.41091,1006.077,2425.55663
0,1010.604,0,50000,2.14267,3.99904,2.48915,1010.604,2515.54733
0,1007.925,0,50000,2.14223,3.90419,2.48889,1007.925,2508.61107
0,1007.042,0,50000,2.14601,4.05834,2.4907,1007.042,2508.23826
0,1072.433,0,50000,2.1558,4.49201,2.69347,1072.433,2888.56455
0,1013.676,0,50000,2.17269,4.03808,2.49707,1013.676,2531.22264
0,1008.915,0,50000,2.14319,3.81487,2.48752,1008.915,2509.6986
0,1007.819,0,50000,1.61041,4.11416,2.49873,1007.819,2518.27023
0,1008.849,0,50000,2.1517,3.95782,2.49873,1008.849,2520.83878
0,1008.643,0,50000,2.15233,3.91155,2.49841,1008.643,2519.99985
