,3.9|Alpine,3.9|FreeBSD,3.9|Manjaro,3.9|Ubuntu,3.10|Alpine,3.10|FreeBSD,3.10|Manjaro,3.10|Ubuntu,3.11|Alpine,3.11|FreeBSD,3.11|Manjaro,3.11|Ubuntu,3.12|Alpine,3.12|FreeBSD,3.12|Manjaro,3.12|Ubuntu,3.13|Alpine,3.13|FreeBSD,3.13|Manjaro,3.13|Ubuntu
draw|RPi3B+|q3,2.333194015881437,2.7466400094602785,2.5386434762774304,2.413731053129161,2.335556676561521,2.791898612477187,2.513682507335553,2.4150153652373496,2.3309456802645943,2.7930492714233477,2.508282808822911,2.498647186462475,2.364381815869619,2.786799994903982,2.4999092558480402,2.504008365258307,2.364567811054563,2.7913405163244227,2.387145255035006,2.5664554145862057
draw|RPi3B+|q4,2.333626656990617,2.7491408445822114,2.539345192322782,2.428415328302186,2.335891098986425,2.7974525983936385,2.53028493732701,2.415187852165986,2.3313276514389214,2.7946808650821104,2.508769617511258,2.6934685430232004,2.384758637149577,2.7879735197009756,2.5012562109938266,2.504799643271423,2.365050234944836,2.8297784927185434,2.3878557378012335,2.6059758086024636
draw|RPi3B+|μ,2.33287366358934,2.745683470486152,2.5366764839733067,2.4149109763192795,2.3353567812209683,2.7818991138680547,2.512536695890592,2.414788598450523,2.3307045680025014,2.7906552719323523,2.506341300553539,2.5053573178840614,2.3502331972511494,2.7856077519352516,2.4996153054421093,2.502797436875767,2.3637671644977694,2.793416098337162,2.3857750424831092,2.5651298422290805
draw|RPi3B+|σ,0.0004045402006403851,0.001879154284597159,0.0019358744683252117,0.004813341495487917,0.00036209091875758387,0.019322162673539617,0.007335365783332455,0.00027826695697796475,0.0003815949812920772,0.0032272410351261212,0.0020116611777888167,0.0711638223846516,0.01999721322931951,0.001687904550714731,0.0007682089213621618,0.0022882210306090674,0.0013417354887949686,0.01305810202499258,0.0018977906836330264,0.0172537248553616
consumption|RPi3B+|q0,2954.91347,3727.59581,2907.11885,3097.54224,2912.13506,3789.37024,2815.34609,3050.76275,2315.44484,2879.42038,2194.41076,2425.55663,2276.38693,2892.23517,2205.99422,2433.2385,2660.87769,2863.87405,2106.12002,2517.82732
consumption|RPi3B+|q1,2956.04569,3749.8710925,2909.3295850000004,3099.2795025,2914.36011,3837.86023,2824.8218775,3052.4498225,2316.580395,2891.8679625,2195.85103,2508.8829525,2277.402335,2901.908105,2207.08694,2435.9326475000003,2662.8471775,2868.3322424999997,2107.7437875,2519.1299475
consumption|RPi3B+|q2,2957.270765,3754.6636399999998,2911.496635,3100.580375,2914.93898,3849.755975,2826.488875,3053.21423,2316.960225,2897.424645,2196.78797,2516.9087799999998,2298.8780850000003,2909.664925,2208.283985,2437.10899,2663.367615,2874.62909,2109.3799099999997,2523.119135
consumption|RPi3B+|q3,2958.3881199999996,3758.689965,2912.5895849999997,3101.65682,2916.30031,3868.0210575,2829.055975,3054.1379025,2317.40771,2902.301165,2199.12292,2520.6290475,2307.2786575,2914.396315,2208.999915,2438.234845,2663.92915,2881.3123075,2110.2338975000002,2530.0760925000004
consumption|RPi3B+|q4,2959.45219,3768.65845,2913.10219,3126.77658,2918.49892,3870.74478,2870.50705,3054.85277,2318.32554,2911.61382,2200.56727,2888.56455,2328.11585,2934.38214,2209.89488,2438.79953,2664.44097,2983.49772,2113.41709,2579.54079
consumption|RPi3B+|μ,2957.295136,3753.0576260000003,2910.9587380000003,3103.3768210000003,2915.231018,3843.601276,2830.038016,3053.121129,2316.985131,2896.160062,2197.3302969999995,2544.6547940000005,2295.783714,2910.872754,2208.0794419999997,2436.8829020000003,2663.15029,2885.5706149999996,2109.192112,2530.832203000001
